valence,arousal,text
positive,subdued,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
positive,subdued,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
positive,subdued,Jquery is my new best friend.
positive,subdued,Loves twitter
positive,subdued,how can you not love Obama? he makes jokes about himself.
positive,subdued,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"
negative,subdued,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
negative,subdued,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
positive,subdued,i love lebron. http://bit.ly/PdHur
negative,subdued,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
positive,subdued,In montreal for a long weekend of R&amp;R. Much needed.
positive,subdued,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP
positive,subdued,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake."
positive,subdued,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."
negative,subdued,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
negative,subdued,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
positive,subdued,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane."
positive,subdued,is going to sleep then on a bike ride:]
negative,subdued,cant sleep... my tooth is aching.
negative,subdued,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
positive,subdued,Malcolm Gladwell might be my new man crush
positive,subdued,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
positive,subdued,Hello Twitter API ;)
negative,subdued,@morind45 Because the twitter api is slow and most client's aren't good.
positive,subdued,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
negative,subdued,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer."
negative,subdued,insects have infected my spinach plant :(
negative,subdued,History exam studying ugh
negative,subdued,"Higher physics exam tommorow, not lookin forward to it much :("
negative,subdued,is Twitter's connections API broken? Some tweets didn't make it to Twitter...
positive,subdued,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too"
positive,subdued,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT"
positive,subdued,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*"
positive,subdued,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio
